epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1787,1.98658,3.15135,2.17107,0.00333,1,0.17757,0.09108,1.90615,3.29814,1.97633,0,0,0
2,16.5182,1.77972,2.93634,1.57807,0.00333,1,0.2595,0.14173,1.84992,3.39053,1.93939,1.9604e-05,1.9604e-05,1.9604e-05
3,20.6776,1.63425,3.05025,1.5939,0.00333,1,0.42345,0.23029,1.80354,3.26027,1.80767,3.8416e-05,3.8416e-05,3.8416e-05
4,24.8739,1.59477,3.25853,1.70854,0.00333,1,0.67278,0.38337,1.67369,3.21052,1.61979,5.6436e-05,5.6436e-05,5.6436e-05
5,29.0636,1.61123,2.6883,1.46481,0.00333,1,0.94786,0.54724,1.47748,3.38991,1.55858,7.3664e-05,7.3664e-05,7.3664e-05
6,33.1824,1.36977,2.53088,1.31375,0.00333,1,0.995,0.60733,1.38867,3.10922,1.34615,9.01e-05,9.01e-05,9.01e-05
7,37.4809,1.01634,2.36812,1.06966,0.00333,1,0.995,0.67268,1.22528,3.00592,1.16158,0.000105744,0.000105744,0.000105744
8,41.7353,1.16478,2.21952,1.21911,0.00333,1,0.97214,0.71451,1.08619,2.96931,1.01379,0.000120596,0.000120596,0.000120596
9,45.996,1.22933,2.4543,1.19661,0.00333,1,0.94786,0.7191,0.96827,2.93422,0.95703,0.000134656,0.000134656,0.000134656
10,50.194,0.8624,1.89728,1.23283,0.00333,1,0.97214,0.69207,0.90515,2.90131,0.93755,0.000147924,0.000147924,0.000147924
11,54.3558,1.1026,1.72695,1.14354,0.00333,1,0.97214,0.66533,0.83471,2.7916,0.90201,0.0001604,0.0001604,0.0001604
12,58.5453,1.12873,1.66787,1.05579,0.00333,1,0.97214,0.5973,0.92495,2.82648,0.93033,0.000172084,0.000172084,0.000172084
13,62.6723,1.07786,1.30102,1.08876,0.00333,1,0.97214,0.51735,0.99373,2.79669,0.9739,0.000182976,0.000182976,0.000182976
14,66.877,1.00774,1.26368,1.13346,0.00333,1,0.955,0.56668,0.93419,2.67985,0.949,0.000193076,0.000193076,0.000193076
15,71.1448,1.26999,2.16027,1.38976,0.02749,1,0.97214,0.76104,0.75318,2.46926,0.89714,0.000202384,0.000202384,0.000202384
16,75.3653,0.96536,1.09484,1.04136,0.88041,1,0.995,0.82569,0.6552,2.29431,0.87617,0.0002109,0.0002109,0.0002109
17,79.6562,0.81566,1.41222,0.96154,0.97911,1,0.995,0.79398,0.71265,2.2603,0.91458,0.000218624,0.000218624,0.000218624
18,83.7844,0.98363,1.27142,1.04994,0.97911,1,0.995,0.79398,0.71265,2.2603,0.91458,0.000225556,0.000225556,0.000225556
19,88.0262,1.02009,1.17973,1.12721,0.96042,1,0.995,0.80198,0.75209,2.22518,0.94474,0.000231696,0.000231696,0.000231696
20,92.2265,0.86047,1.14264,0.96481,0.96042,1,0.995,0.80198,0.75209,2.22518,0.94474,0.000237044,0.000237044,0.000237044
21,96.4673,0.83358,1.24144,0.921,0.97221,1,0.995,0.80757,0.7814,2.25619,0.94371,0.0002416,0.0002416,0.0002416
22,100.643,0.89978,1.08432,0.99678,0.97221,1,0.995,0.80757,0.7814,2.25619,0.94371,0.000245364,0.000245364,0.000245364
23,104.954,1.06466,1.17615,1.06417,0.95135,1,0.995,0.78839,0.78832,2.31333,0.94171,0.000248336,0.000248336,0.000248336
24,108.994,0.88733,1.14604,1.01857,0.95135,1,0.995,0.78839,0.78832,2.31333,0.94171,0.000250516,0.000250516,0.000250516
25,113.026,0.91578,1.01666,0.96422,0.88938,1,0.995,0.79114,0.80716,2.35414,0.94311,0.000251904,0.000251904,0.000251904
26,116.988,0.97052,1.19485,1.05276,0.88938,1,0.995,0.79114,0.80716,2.35414,0.94311,0.0002525,0.0002525,0.0002525
27,121.071,0.72724,0.9747,0.94763,0.90292,1,0.995,0.8182,0.81543,2.37018,0.94094,0.000252304,0.000252304,0.000252304
28,125.126,0.80793,1.00843,1.00227,0.90292,1,0.995,0.8182,0.81543,2.37018,0.94094,0.000251316,0.000251316,0.000251316
29,129.455,0.86279,1.15807,1.08931,0.92791,1,0.995,0.82904,0.76049,2.37358,0.93152,0.000249536,0.000249536,0.000249536
30,133.543,0.96769,1.38882,1.04284,0.92791,1,0.995,0.82904,0.76049,2.37358,0.93152,0.000246964,0.000246964,0.000246964
31,137.815,0.74082,0.97392,0.93987,0.97684,1,0.995,0.8072,0.75054,2.29788,0.92497,0.0002436,0.0002436,0.0002436
32,141.839,0.72969,1.30265,1.03262,0.97684,1,0.995,0.8072,0.75054,2.29788,0.92497,0.000239444,0.000239444,0.000239444
33,146.09,0.63422,1.39389,0.98537,0.96373,1,0.995,0.82079,0.72695,2.22581,0.90494,0.000234496,0.000234496,0.000234496
34,150.2,0.88521,1.23714,1.06918,0.96373,1,0.995,0.82079,0.72695,2.22581,0.90494,0.000228756,0.000228756,0.000228756
35,154.494,0.73947,1.19068,0.92396,0.95041,1,0.995,0.84037,0.68392,2.1914,0.87602,0.000222224,0.000222224,0.000222224
36,158.744,1.04817,1.22816,1.20162,0.95041,1,0.995,0.84037,0.68392,2.1914,0.87602,0.0002149,0.0002149,0.0002149
37,163.102,0.94555,0.98397,0.90506,0.93947,1,0.995,0.82904,0.67644,2.16582,0.85963,0.000206784,0.000206784,0.000206784
38,167.268,0.78612,1.16675,0.96648,0.93947,1,0.995,0.82904,0.67644,2.16582,0.85963,0.000197876,0.000197876,0.000197876
39,171.71,0.90332,1.16867,1.01241,0.92913,1,0.995,0.85687,0.67573,2.15616,0.85075,0.000188176,0.000188176,0.000188176
40,175.992,0.76469,0.9378,0.90398,0.92913,1,0.995,0.85687,0.67573,2.15616,0.85075,0.000177684,0.000177684,0.000177684
41,180.369,0.63383,1.38612,0.84802,0.93457,1,0.995,0.87386,0.66016,2.17542,0.84953,0.0001664,0.0001664,0.0001664
42,184.698,0.57251,1.22869,0.9277,0.93457,1,0.995,0.87386,0.66016,2.17542,0.84953,0.000154324,0.000154324,0.000154324
43,188.875,0.59712,1.28492,0.87312,0.93985,1,0.995,0.85914,0.65027,2.19982,0.83727,0.000141456,0.000141456,0.000141456
44,193.029,0.50149,1.23542,0.90987,0.93985,1,0.995,0.85914,0.65027,2.19982,0.83727,0.000127796,0.000127796,0.000127796
45,198.033,0.6793,1.29376,1.00949,0.93532,1,0.995,0.86254,0.65518,2.21454,0.83159,0.000113344,0.000113344,0.000113344
46,313.019,0.61138,1.30092,0.94563,0.93532,1,0.995,0.86254,0.65518,2.21454,0.83159,9.81e-05,9.81e-05,9.81e-05
47,315.762,0.55099,1.27609,0.80457,0.93514,1,0.995,0.86254,0.6521,2.21433,0.82809,8.2064e-05,8.2064e-05,8.2064e-05
48,320.27,0.74153,1.3173,0.94985,0.93514,1,0.995,0.86254,0.6521,2.21433,0.82809,6.5236e-05,6.5236e-05,6.5236e-05
49,324.913,0.54254,1.30505,0.81547,0.93137,1,0.995,0.86254,0.63562,2.19961,0.82412,4.7616e-05,4.7616e-05,4.7616e-05
50,330.074,0.48177,1.30021,0.82118,0.93137,1,0.995,0.86254,0.63562,2.19961,0.82412,2.9204e-05,2.9204e-05,2.9204e-05
